1 kaneko 0884 1 02 00 00 BG-02-1210-02-020-A 隠し かくし 隠し
1 kaneko 0884 2 02 00 00 BG-02-3091-02-010-A -- かくす 隠す
1 kaneko 0884 2 02 00 00 BG-02-3120-02-060-A -- かくす 隠す
1 kaneko 0884 0 47 12 01 BG-02-3120-01-020-A 申す もうす 申す
1 kaneko 0884 0 02 00 00 BG-01-4460-03-040-A 御簾 みす 御簾
1 kaneko 0884 0 68 00 00 BG-08-0068-07-010-A や や や
1 kaneko 0884 0 02 00 00 BG-01-4460-04-050-A 御帳 みちょう 御帳
1 kaneko 0884 0 28 00 00 BG-07-0010-04-010-A や や や
1 kaneko 0884 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0884 1 47 17 06 BG-02-1240-02-010-A なくなっ なくなる なくなる
1 kaneko 0884 3 47 17 06 BG-03-1200-02-010-A -- ない ない
1 kaneko 0884 3 47 17 06 BG-02-1220-01-030-A -- なる なる
2 kaneko 0884 2 47 17 06 BG-02-5820-01-020-A なくなっ なくなる なくなる
2 kaneko 0884 3 47 17 06 BG-03-1200-02-010-A -- ない ない
2 kaneko 0884 3 47 17 06 BG-02-1220-01-030-A -- なる なる
1 kaneko 0884 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0884 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0884 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0884 0 47 06 04 BG-02-1530-06-020-A 入れ いれる 入れる
1 kaneko 0884 0 47 12 02 BG-02-3120-01-020-A 申さ もうす 申す
1 kaneko 0884 0 74 59 04 BG-03-1200-02-090-A ず ぬ ぬ
2 kaneko 0884 2 74 59 04 BG-09-0010-01-010-A ず ぬ ぬ
3 kaneko 0884 2 74 59 04 BG-09-0010-03-020-C ず ぬ ぬ
1 kaneko 0884 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0884 0 55 00 00 BG-04-3110-02-060-A まあ まあ まあ
1 kaneko 0884 0 47 17 06 BG-02-1200-01-010-A あっ ある ある
1 kaneko 0884 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0884 0 52 51 01 BG-03-3012-03-010-A ほしい ほしい ほしい
1 kaneko 0884 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0884 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0884 1 63 00 00 BG-08-0063-07-010-A という という という
1 kaneko 0884 3 63 00 00 BG-08-0061-04-010-A -- と と
1 kaneko 0884 3 63 00 00 BG-02-3120-01-010-A -- いう 云う
1 kaneko 0884 0 21 00 00 BG-07-0010-03-010-A の の の
1 kaneko 0884 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0884 0 02 00 00 BG-01-1750-05-060-A 表面 ひょうめん 表面
1 kaneko 0884 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0884 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0884 0 78 00 00 BG-16-0078-01-010-A 。 。 。
